GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Powerunit - Java Testing framework for JDK 10 - Extension to provide unchecked exception for lambda.,ch.powerunit.extensions.exceptions,DoubleToLongFunctionWithException.new DoubleToLongFunctionWithException() {...},0,17,0,0,0,3,0,3,0,3
Powerunit - Java Testing framework for JDK 10 - Extension to provide unchecked exception for lambda.,ch.powerunit.extensions.exceptions,DoubleToLongFunctionWithException.new DoubleToLongFunctionWithException() {...},0,17,0,0,0,3,0,3,0,3
Powerunit - Java Testing framework for JDK 10 - Extension to provide unchecked exception for lambda.,ch.powerunit.extensions.exceptions,IntToDoubleFunctionWithException,0,67,0,0,0,17,0,9,0,9
Powerunit - Java Testing framework for JDK 10 - Extension to provide unchecked exception for lambda.,ch.powerunit.extensions.exceptions,SupplierWithException.new SupplierWithException() {...},0,16,0,0,0,3,0,3,0,3
Powerunit - Java Testing framework for JDK 10 - Extension to provide unchecked exception for lambda.,ch.powerunit.extensions.exceptions,ObjectInputFilterWithException,0,112,0,0,0,20,0,20,0,20
Powerunit - Java Testing framework for JDK 10 - Extension to provide unchecked exception for lambda.,ch.powerunit.extensions.exceptions,BinaryOperatorWithException,0,73,0,0,0,12,0,14,0,14
Powerunit - Java Testing framework for JDK 10 - Extension to provide unchecked exception for lambda.,ch.powerunit.extensions.exceptions,BiFunctionWithException.new BiFunctionWithException() {...},0,18,0,0,0,3,0,3,0,3
Powerunit - Java Testing framework for JDK 10 - Extension to provide unchecked exception for lambda.,ch.powerunit.extensions.exceptions,ToLongFunctionWithException.new ToLongFunctionWithException() {...},0,17,0,0,0,3,0,3,0,3
Powerunit - Java Testing framework for JDK 10 - Extension to provide unchecked exception for lambda.,ch.powerunit.extensions.exceptions,ToLongFunctionWithException.new ToLongFunctionWithException() {...},0,17,0,0,0,3,0,3,0,3
Powerunit - Java Testing framework for JDK 10 - Extension to provide unchecked exception for lambda.,ch.powerunit.extensions.exceptions,BiFunctionWithException.new BiFunctionWithException() {...},0,18,0,0,0,3,0,3,0,3
Powerunit - Java Testing framework for JDK 10 - Extension to provide unchecked exception for lambda.,ch.powerunit.extensions.exceptions,ExceptionMapper,20,137,0,8,0,22,4,23,4,19
Powerunit - Java Testing framework for JDK 10 - Extension to provide unchecked exception for lambda.,ch.powerunit.extensions.exceptions,FileFilterWithException.new FileFilterWithException() {...},0,17,0,0,0,3,0,3,0,3
Powerunit - Java Testing framework for JDK 10 - Extension to provide unchecked exception for lambda.,ch.powerunit.extensions.exceptions,FileFilterWithException.new FileFilterWithException() {...},0,17,0,0,0,3,0,3,0,3
Powerunit - Java Testing framework for JDK 10 - Extension to provide unchecked exception for lambda.,ch.powerunit.extensions.exceptions,FunctionWithException.new FunctionWithException() {...},0,17,0,0,0,3,0,3,0,3
Powerunit - Java Testing framework for JDK 10 - Extension to provide unchecked exception for lambda.,ch.powerunit.extensions.exceptions,FunctionWithException.new FunctionWithException() {...},0,17,0,0,0,3,0,3,0,3
Powerunit - Java Testing framework for JDK 10 - Extension to provide unchecked exception for lambda.,ch.powerunit.extensions.exceptions,DoubleSupplierWithException.new DoubleSupplierWithException() {...},0,16,0,0,0,3,0,3,0,3
Powerunit - Java Testing framework for JDK 10 - Extension to provide unchecked exception for lambda.,ch.powerunit.extensions.exceptions,DoubleSupplierWithException.new DoubleSupplierWithException() {...},0,16,0,0,0,3,0,3,0,3
Powerunit - Java Testing framework for JDK 10 - Extension to provide unchecked exception for lambda.,ch.powerunit.extensions.exceptions,LongToIntFunctionWithException,0,71,0,0,0,19,0,11,0,11
Powerunit - Java Testing framework for JDK 10 - Extension to provide unchecked exception for lambda.,ch.powerunit.extensions.exceptions,DoubleUnaryOperatorWithException.new DoubleUnaryOperatorWithException() {...},0,17,0,0,0,3,0,3,0,3
Powerunit - Java Testing framework for JDK 10 - Extension to provide unchecked exception for lambda.,ch.powerunit.extensions.exceptions,DoubleUnaryOperatorWithException.new DoubleUnaryOperatorWithException() {...},0,17,0,0,0,3,0,3,0,3
Powerunit - Java Testing framework for JDK 10 - Extension to provide unchecked exception for lambda.,ch.powerunit.extensions.exceptions,ObjDoubleConsumerWithException.new ObjDoubleConsumerWithException() {...},0,18,0,0,0,4,0,3,0,3
Powerunit - Java Testing framework for JDK 10 - Extension to provide unchecked exception for lambda.,ch.powerunit.extensions.exceptions,ExceptionHandlerSupport,0,9,0,0,0,2,0,2,0,2
Powerunit - Java Testing framework for JDK 10 - Extension to provide unchecked exception for lambda.,ch.powerunit.extensions.exceptions,LongUnaryOperatorWithException,0,101,0,0,0,24,0,17,0,17
Powerunit - Java Testing framework for JDK 10 - Extension to provide unchecked exception for lambda.,ch.powerunit.extensions.exceptions,DoubleToLongFunctionWithException,0,67,0,0,0,17,0,9,0,9
Powerunit - Java Testing framework for JDK 10 - Extension to provide unchecked exception for lambda.,ch.powerunit.extensions.exceptions,BiPredicateWithException,0,127,0,10,0,23,0,21,0,16
Powerunit - Java Testing framework for JDK 10 - Extension to provide unchecked exception for lambda.,ch.powerunit.extensions.exceptions,LongToDoubleFunctionWithException,0,71,0,0,0,19,0,11,0,11
Powerunit - Java Testing framework for JDK 10 - Extension to provide unchecked exception for lambda.,ch.powerunit.extensions.exceptions,ToIntBiFunctionWithException,0,68,0,0,0,17,0,9,0,9
Powerunit - Java Testing framework for JDK 10 - Extension to provide unchecked exception for lambda.,ch.powerunit.extensions.exceptions,ObjectReturnExceptionHandlerSupport,0,31,0,0,0,10,0,7,0,7
Powerunit - Java Testing framework for JDK 10 - Extension to provide unchecked exception for lambda.,ch.powerunit.extensions.exceptions,LongToDoubleFunctionWithException.new LongToDoubleFunctionWithException() {...},0,17,0,0,0,3,0,3,0,3
Powerunit - Java Testing framework for JDK 10 - Extension to provide unchecked exception for lambda.,ch.powerunit.extensions.exceptions,LongToDoubleFunctionWithException.new LongToDoubleFunctionWithException() {...},0,17,0,0,0,3,0,3,0,3
Powerunit - Java Testing framework for JDK 10 - Extension to provide unchecked exception for lambda.,ch.powerunit.extensions.exceptions,DoubleBinaryOperatorWithException.new DoubleBinaryOperatorWithException() {...},0,18,0,0,0,3,0,3,0,3
Powerunit - Java Testing framework for JDK 10 - Extension to provide unchecked exception for lambda.,ch.powerunit.extensions.exceptions,DoubleBinaryOperatorWithException.new DoubleBinaryOperatorWithException() {...},0,18,0,0,0,3,0,3,0,3
Powerunit - Java Testing framework for JDK 10 - Extension to provide unchecked exception for lambda.,ch.powerunit.extensions.exceptions,LongBinaryOperatorWithException,0,68,0,0,0,17,0,9,0,9
Powerunit - Java Testing framework for JDK 10 - Extension to provide unchecked exception for lambda.,ch.powerunit.extensions.exceptions,PredicateWithException.new PredicateWithException() {...},0,17,0,0,0,3,0,3,0,3
Powerunit - Java Testing framework for JDK 10 - Extension to provide unchecked exception for lambda.,ch.powerunit.extensions.exceptions,ToLongBiFunctionWithException.new ToLongBiFunctionWithException() {...},0,18,0,0,0,3,0,3,0,3
Powerunit - Java Testing framework for JDK 10 - Extension to provide unchecked exception for lambda.,ch.powerunit.extensions.exceptions,ToLongBiFunctionWithException.new ToLongBiFunctionWithException() {...},0,18,0,0,0,3,0,3,0,3
Powerunit - Java Testing framework for JDK 10 - Extension to provide unchecked exception for lambda.,ch.powerunit.extensions.exceptions,InternalHelper,0,64,0,4,0,13,0,8,0,6
Powerunit - Java Testing framework for JDK 10 - Extension to provide unchecked exception for lambda.,ch.powerunit.extensions.exceptions,IntToLongFunctionWithException.new IntToLongFunctionWithException() {...},0,17,0,0,0,3,0,3,0,3
Powerunit - Java Testing framework for JDK 10 - Extension to provide unchecked exception for lambda.,ch.powerunit.extensions.exceptions,IntToLongFunctionWithException.new IntToLongFunctionWithException() {...},0,17,0,0,0,3,0,3,0,3
Powerunit - Java Testing framework for JDK 10 - Extension to provide unchecked exception for lambda.,ch.powerunit.extensions.exceptions,DoubleDefaultValue,0,2,0,0,0,1,0,1,0,1
Powerunit - Java Testing framework for JDK 10 - Extension to provide unchecked exception for lambda.,ch.powerunit.extensions.exceptions,LongPredicateWithException.new LongPredicateWithException() {...},0,17,0,0,0,3,0,3,0,3
Powerunit - Java Testing framework for JDK 10 - Extension to provide unchecked exception for lambda.,ch.powerunit.extensions.exceptions,ToDoubleFunctionWithException,0,67,0,0,0,17,0,9,0,9
Powerunit - Java Testing framework for JDK 10 - Extension to provide unchecked exception for lambda.,ch.powerunit.extensions.exceptions,PredicateWithException,0,121,0,10,0,23,0,21,0,16
Powerunit - Java Testing framework for JDK 10 - Extension to provide unchecked exception for lambda.,ch.powerunit.extensions.exceptions,LongPredicateWithException.new LongPredicateWithException() {...},0,17,0,0,0,3,0,3,0,3
Powerunit - Java Testing framework for JDK 10 - Extension to provide unchecked exception for lambda.,ch.powerunit.extensions.exceptions,DoubleUnaryOperatorWithException,0,97,0,0,0,22,0,15,0,15
Powerunit - Java Testing framework for JDK 10 - Extension to provide unchecked exception for lambda.,ch.powerunit.extensions.exceptions,BiFunctionWithException,0,146,0,0,0,24,0,26,0,26
Powerunit - Java Testing framework for JDK 10 - Extension to provide unchecked exception for lambda.,ch.powerunit.extensions.exceptions,IntSupplierWithException,0,66,0,0,0,17,0,9,0,9
Powerunit - Java Testing framework for JDK 10 - Extension to provide unchecked exception for lambda.,ch.powerunit.extensions.exceptions,DoubleConsumerWithException,0,103,0,0,0,19,0,19,0,19
Powerunit - Java Testing framework for JDK 10 - Extension to provide unchecked exception for lambda.,ch.powerunit.extensions.exceptions,ToLongBiFunctionWithException,0,68,0,0,0,17,0,9,0,9
Powerunit - Java Testing framework for JDK 10 - Extension to provide unchecked exception for lambda.,ch.powerunit.extensions.exceptions,FunctionWithException,0,196,0,0,0,33,0,39,0,39
Powerunit - Java Testing framework for JDK 10 - Extension to provide unchecked exception for lambda.,ch.powerunit.extensions.exceptions,ObjIntConsumerWithException,0,96,0,0,0,14,0,17,0,17
Powerunit - Java Testing framework for JDK 10 - Extension to provide unchecked exception for lambda.,ch.powerunit.extensions.exceptions,DoubleSupplierWithException,0,66,0,0,0,17,0,9,0,9
Powerunit - Java Testing framework for JDK 10 - Extension to provide unchecked exception for lambda.,ch.powerunit.extensions.exceptions,ConsumerWithException.new ConsumerWithException() {...},0,17,0,0,0,4,0,3,0,3
Powerunit - Java Testing framework for JDK 10 - Extension to provide unchecked exception for lambda.,ch.powerunit.extensions.exceptions,IntToDoubleFunctionWithException.new IntToDoubleFunctionWithException() {...},0,17,0,0,0,3,0,3,0,3
Powerunit - Java Testing framework for JDK 10 - Extension to provide unchecked exception for lambda.,ch.powerunit.extensions.exceptions,ToIntFunctionWithException,0,67,0,0,0,17,0,9,0,9
Powerunit - Java Testing framework for JDK 10 - Extension to provide unchecked exception for lambda.,ch.powerunit.extensions.exceptions,IntToDoubleFunctionWithException.new IntToDoubleFunctionWithException() {...},0,17,0,0,0,3,0,3,0,3
Powerunit - Java Testing framework for JDK 10 - Extension to provide unchecked exception for lambda.,ch.powerunit.extensions.exceptions,DoubleConsumerWithException.new DoubleConsumerWithException() {...},0,17,0,0,0,4,0,3,0,3
Powerunit - Java Testing framework for JDK 10 - Extension to provide unchecked exception for lambda.,ch.powerunit.extensions.exceptions,ObjDoubleConsumerWithException,0,96,0,0,0,14,0,17,0,17
Powerunit - Java Testing framework for JDK 10 - Extension to provide unchecked exception for lambda.,ch.powerunit.extensions.exceptions,BooleanSupplierWithException.new BooleanSupplierWithException() {...},0,16,0,0,0,3,0,3,0,3
Powerunit - Java Testing framework for JDK 10 - Extension to provide unchecked exception for lambda.,ch.powerunit.extensions.exceptions,BooleanSupplierWithException.new BooleanSupplierWithException() {...},0,16,0,0,0,3,0,3,0,3
